id,codigo,codigo_siars,nome_abreviado,designacao,objetivo,formula,unidade_de_medida,output,estado_do_indicador,area,subarea,dimensao,tipo_de_indicador,area_clinica,inclusao_de_utentes_no_indicador,prazo_para_registos,link,nome_indicador,min_aceitavel,min_esperado,max_esperado,max_aceitavel,intervalo_aceitavel,intervalo_esperado,indexing,id_sdm
112,4.10.02,4.10 2e,Nº médio cons. enfer. vig. s. infantil 2º ano vida,Número médio de consultas de enfermagem de vigilância de saúde infantil no 2º ano de vida,Acompanhamento do Programa de Saúde Infantil - 2º ano de vida.,AA / BB,CONS,número médio de consultas,Com dados desde Dezembro de 2009,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=112&CLUSTERS=S,,,,,,,,112 no medio cons. enfer. vig. s. infantil 2o ano vida numero medio de consultas de enfermagem de vigilancia de saude infantil no 2o ano de vida nan nan nan processo saude infantil e juvenil,[112](https://sdm.min-saude.pt/BI.aspx?id=112&CLUSTERS=S)
113,6.23.02,4.10M 1m,Percent. crianças c/ 3+ cons. méd. vigil. 2º ano,Percentagem de crianças com pelo menos 3 consultas médicas de saúde infantil no 2º ano de vida,Acompanhamento do Programa de Saúde Infantil - 2º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=113&CLUSTERS=S,,,,,,,,113 percent. criancas c/ 3+ cons. med. vigil. 2o ano percentagem de criancas com pelo menos 3 consultas medicas de saude infantil no 2o ano de vida nan nan nan processo saude infantil e juvenil,[113](https://sdm.min-saude.pt/BI.aspx?id=113&CLUSTERS=S)
114,6.23.03,4.10M 2e,Percent. crianças c/ 3+ cons. enf. vigil. 2º ano,Percentagem de crianças com pelo menos 3 consultas de enfermagem de saúde infantil no 2º ano de vida,Acompanhamento do Programa de Saúde Infantil - 2º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Com dados desde Dezembro de 2009,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=114&CLUSTERS=S,,,,,,,,114 percent. criancas c/ 3+ cons. enf. vigil. 2o ano percentagem de criancas com pelo menos 3 consultas de enfermagem de saude infantil no 2o ano de vida nan nan nan processo saude infantil e juvenil,[114](https://sdm.min-saude.pt/BI.aspx?id=114&CLUSTERS=S)
115,4.18.02,4.18,Taxa visit. domic. médicas por 1.000 inscritos,Taxa de visitas domiciliárias médicas por 1.000 inscritos,Permite monitorizar produtividade relacionada com a realização de domicílios médicos.,AA / BB x 1.000,por 1.000,Taxa de consultas domiciliárias (Méd.),Com dados desde Dezembro de 2009,,,,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=115&CLUSTERS=S,,,,,,,,115 taxa visit. domic. medicas por 1.000 inscritos taxa de visitas domiciliarias medicas por 1.000 inscritos nan nan nan processo transversal,[115](https://sdm.min-saude.pt/BI.aspx?id=115&CLUSTERS=S)
116,4.22,4.22,Nº médio cons. enfermagem saúde materna,Número médio de consultas de enfermagem em saúde materna,Acompanhamento do Programa de Saúde Materna.,AA / BB,CONS,número médio de consultas,Com dados desde Dezembro de 2009,,,,Processo,Saúde Materna,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=116&CLUSTERS=S,,,,,,,,116 no medio cons. enfermagem saude materna numero medio de consultas de enfermagem em saude materna nan nan nan processo saude materna,[116](https://sdm.min-saude.pt/BI.aspx?id=116&CLUSTERS=S)
117,6.26.03,4.22M,Percent. grávidas c/ 6+ cons. vigil. enferm.,Percentagem de grávidas com 6 ou mais consultas de enfermagem em saúde materna,"Monitorização do Programa de Vigilância em Saúde Materna, área de acesso às consultas de enfermagem de saúde materna.",AA / BB x 100,%,Proporção de grávidas,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Materna,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=117&CLUSTERS=S,,,,,,,,117 percent. gravidas c/ 6+ cons. vigil. enferm. percentagem de gravidas com 6 ou mais consultas de enfermagem em saude materna nan nan nan processo saude materna,[117](https://sdm.min-saude.pt/BI.aspx?id=117&CLUSTERS=S)
118,4.30.02,4.30,Taxa visit.domic. enfermagem por 1.000 inscritos,Taxa de visitas domiciliárias de enfermagem por 1.000 inscritos,Permite monitorizar produtividade relacionada com a realização de domicílios de enfermagem.,AA / BB x 1.000,por 1.000,Taxa de consultas domiciliárias (Enf.),Com dados desde Dezembro de 2009,,,,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=118&CLUSTERS=S,,,,,,,,118 taxa visit.domic. enfermagem por 1.000 inscritos taxa de visitas domiciliarias de enfermagem por 1.000 inscritos nan nan nan processo transversal,[118](https://sdm.min-saude.pt/BI.aspx?id=118&CLUSTERS=S)
119,6.42.02,4.33,"Percent. puérperas vigiadas, c/ domicílio enferm.",Percentagem de puérperas vigiadas na UF com visita domiciliária de enfermagem,"Monitorização do programa de vigilância em saúde materna, área dos cuidados domiciliários de enfermagem a puérperas.",AA / BB x 100,%,Proporção de puérperas,Com dados desde Dezembro de 2009,,,,Processo,Saúde Materna,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=119&CLUSTERS=S,,,,,,,,"119 percent. puerperas vigiadas, c/ domicilio enferm. percentagem de puerperas vigiadas na uf com visita domiciliaria de enfermagem nan nan nan processo saude materna",[119](https://sdm.min-saude.pt/BI.aspx?id=119&CLUSTERS=S)
120,6.42.03,4.34M,Percent. de RN c/ domic. enf. até 15º dia de vida,Percentagem de recém-nascidos com consulta domiciliária de enfermagem realizada até ao 15º dia de vida,"Monitorizar os cuidados prestados aos recém-nascidos (parâmetro ""domicílios de enfermagem a recém-nascidos"").",AA / BB x 100,%,Proporção de recém-nascidos,Com dados desde Dezembro de 2009,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos durante pelo menos um dia do acontecimento monitorizado,30 dias,https://sdm.min-saude.pt/BI.aspx?id=120&CLUSTERS=S,,,,,,,,120 percent. de rn c/ domic. enf. ate 15o dia de vida percentagem de recem-nascidos com consulta domiciliaria de enfermagem realizada ate ao 15o dia de vida nan nan nan processo saude infantil e juvenil,[120](https://sdm.min-saude.pt/BI.aspx?id=120&CLUSTERS=S)
121,4.09.01,4.9 1m,Nº médio cons. médicas vig. s. infantil 0-11 meses,Número médio de consultas médicas de vigilância de saúde infantil dos 0 aos 11 meses,Acompanhamento do Programa de Saúde Infantil - 1º ano de vida.,AA / BB,CONS,número médio de consultas,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=121&CLUSTERS=S,,,,,,,,121 no medio cons. medicas vig. s. infantil 0-11 meses numero medio de consultas medicas de vigilancia de saude infantil dos 0 aos 11 meses nan nan nan processo saude infantil e juvenil,[121](https://sdm.min-saude.pt/BI.aspx?id=121&CLUSTERS=S)
122,4.09.02,4.9 2e,Nº médio cons. enferm. vig. s. infantil 0-11 meses,Número médio de consultas enfermagem de vigilância de saúde infantil dos 0 aos 11 meses,Acompanhamento do Programa de Saúde Infantil - 1º ano de vida.,AA / BB,CONS,número médio de consultas,Com dados desde Dezembro de 2009,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=122&CLUSTERS=S,,,,,,,,122 no medio cons. enferm. vig. s. infantil 0-11 meses numero medio de consultas enfermagem de vigilancia de saude infantil dos 0 aos 11 meses nan nan nan processo saude infantil e juvenil,[122](https://sdm.min-saude.pt/BI.aspx?id=122&CLUSTERS=S)
123,6.22.02,4.9M 1m,Percent. crianças c/ 6+ cons. méd. vigil. 1º ano,Percentagem de crianças com pelo menos 6 consultas de vigilância de saúde infantil dos 0 aos 11 meses,Acompanhamento do Programa de Saúde Infantil - 1º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=123&CLUSTERS=S,,,,,,,,123 percent. criancas c/ 6+ cons. med. vigil. 1o ano percentagem de criancas com pelo menos 6 consultas de vigilancia de saude infantil dos 0 aos 11 meses nan nan nan processo saude infantil e juvenil,[123](https://sdm.min-saude.pt/BI.aspx?id=123&CLUSTERS=S)
124,6.22.03,4.9M 2e,Percent. crianças c/ 6+ cons. enf. vigil. 1º ano,Percentagem de crianças com pelo menos 6 consultas de enfermagem de vigilância de saúde infantil dos 0 aos 11 meses,Acompanhamento do Programa de Saúde Infantil - 1º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=124&CLUSTERS=S,,,,,,,,124 percent. criancas c/ 6+ cons. enf. vigil. 1o ano percentagem de criancas com pelo menos 6 consultas de enfermagem de vigilancia de saude infantil dos 0 aos 11 meses nan nan nan processo saude infantil e juvenil,[124](https://sdm.min-saude.pt/BI.aspx?id=124&CLUSTERS=S)
125,5.10.03,5.10 f,Percent. hipertensos c/ PA 6 meses,Percentagem de hipertensos com registo de pressão arterial nos últimos 6 meses,Monitorizar o acompanhamento dos utentes com hipertensão arterial - parâmetro registo de pressão arterial.,AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2014,,,,Processo,Hipertensão Arterial,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=125&CLUSTERS=S,,,,,,,,125 percent. hipertensos c/ pa 6 meses percentagem de hipertensos com registo de pressao arterial nos ultimos 6 meses nan nan nan processo hipertensao arterial,[125](https://sdm.min-saude.pt/BI.aspx?id=125&CLUSTERS=S)
126,5.10.04,5.10 i,Percent. hipertensos c/ PA 6 meses,Percentagem de hipertensos com registo de pressão arterial nos últimos 6 meses,Monitorizar o acompanhamento dos utentes com hipertensão arterial - parâmetro registo de pressão arterial.,AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2014,,,,Processo,Hipertensão Arterial,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=126&CLUSTERS=S,,,,,,,,126 percent. hipertensos c/ pa 6 meses percentagem de hipertensos com registo de pressao arterial nos ultimos 6 meses nan nan nan processo hipertensao arterial,[126](https://sdm.min-saude.pt/BI.aspx?id=126&CLUSTERS=S)
127,5.10.05,5.10M f,Percent. de hipertensos com PA em cada semestre,Percentagem de hipertensos com pelo menos uma avaliação de pressão arterial em cada semestre,"Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""registo de pressão arterial"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2016,,,,Processo,Hipertensão Arterial,Utentes inscritos durante um mínimo de N meses do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=127&CLUSTERS=S,,,,,,,,127 percent. de hipertensos com pa em cada semestre percentagem de hipertensos com pelo menos uma avaliacao de pressao arterial em cada semestre nan nan nan processo hipertensao arterial,[127](https://sdm.min-saude.pt/BI.aspx?id=127&CLUSTERS=S)
128,5.10.06,5.10M i,Percent. de hipertensos com PA em cada semestre,Percentagem de hipertensos com pelo menos uma avaliação de pressão arterial em cada semestre,"Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""registo de pressão arterial"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2016,,,,Processo,Hipertensão Arterial,Utentes inscritos durante um mínimo de N meses do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=128&CLUSTERS=S,,,,,,,,128 percent. de hipertensos com pa em cada semestre percentagem de hipertensos com pelo menos uma avaliacao de pressao arterial em cada semestre nan nan nan processo hipertensao arterial,[128](https://sdm.min-saude.pt/BI.aspx?id=128&CLUSTERS=S)
129,5.13.07,5.13M1,Percent. hipertensos c/ IMC últimos 12 meses,Percentagem de hipertensos com registo de IMC nos últimos 12 meses,"Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""índice de massa corporal (IMC)"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2016,,,,Processo,Hipertensão Arterial,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=129&CLUSTERS=S,,,,,,,,129 percent. hipertensos c/ imc ultimos 12 meses percentagem de hipertensos com registo de imc nos ultimos 12 meses nan nan nan processo hipertensao arterial,[129](https://sdm.min-saude.pt/BI.aspx?id=129&CLUSTERS=S)
130,5.13.08,5.13M2,"Percent. crianças 2 anos, c/ peso e altura 1 ano",Percentagem de inscritos com 2 anos com peso e altura registados nos últimos 12 meses,"Monitorizar o programa de saúde infantil, 2º ano de vida, parâmetro ""registo de peso e altura"".",AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=130&CLUSTERS=S,,,,,,,,"130 percent. criancas 2 anos, c/ peso e altura 1 ano percentagem de inscritos com 2 anos com peso e altura registados nos ultimos 12 meses nan nan nan processo saude infantil e juvenil",[130](https://sdm.min-saude.pt/BI.aspx?id=130&CLUSTERS=S)
131,5.01.02,5.1M,"Percent. mulheres [50; 70[ A, c/ mamogr. (2 anos)","Percentagem de mulheres entre [50; 70[ anos, com mamografia registada nos últimos dois anos","Monitorizar o programa de rastreio oncológico - parâmetro ""rastreio e deteção precoce do cancro da mama"".",AA / BB x 100,%,Proporção de mulheres,Descontinuado em Dezembro de 2014,,,,Processo,Rastreio Oncológico,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=131&CLUSTERS=S,,,,,,,,"131 percent. mulheres [50; 70[ a, c/ mamogr. (2 anos) percentagem de mulheres entre [50; 70[ anos, com mamografia registada nos ultimos dois anos nan nan nan processo rastreio oncologico",[131](https://sdm.min-saude.pt/BI.aspx?id=131&CLUSTERS=S)
132,5.02.02,5.2,"Percent. mulheres [25; 64[ A, c/ colpoc. atuali.","Percentagem de mulheres entre os 25 e 64 anos, com colpocitologia atualizada","Monitorizar o programa de rastreio oncológico - parâmetro ""rastreio e deteção precoce do cancro do colo do útero"".",AA / BB x 100,%,Proporção de mulheres,Descontinuado em Dezembro de 2016,,,,Processo,Rastreio Oncológico,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=132&CLUSTERS=S,,,,,,,,"132 percent. mulheres [25; 64[ a, c/ colpoc. atuali. percentagem de mulheres entre os 25 e 64 anos, com colpocitologia atualizada nan nan nan processo rastreio oncologico",[132](https://sdm.min-saude.pt/BI.aspx?id=132&CLUSTERS=S)
133,5.02.03,5.2M,"Percent. mulher. vig. PF [25;50[A, c/ colpo. (3A)","Percentagem de mulheres entre os 25 e 49 anos, vigiadas na UF, com colpocitologia atualizada","Monitorizar o programa de rastreio oncológico - parâmetro ""rastreio e deteção precoce do cancro do colo do útero"".",AA / BB x 100,%,Proporção de mulheres,Descontinuado em Dezembro de 2016,,,,Processo,Planeamento Familiar,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=133&CLUSTERS=S,,,,,,,,"133 percent. mulher. vig. pf [25;50[a, c/ colpo. (3a) percentagem de mulheres entre os 25 e 49 anos, vigiadas na uf, com colpocitologia atualizada nan nan nan processo planeamento familiar",[133](https://sdm.min-saude.pt/BI.aspx?id=133&CLUSTERS=S)
134,5.03.02,5.3 d1,"Percent. utentes [50; 75[A, c/ colonosc. ou PSOF","Percentagem inscritos com idade entre [50; 75[ anos, com PSOF ou colonoscopia atualizada","Monitorizar o programa de rastreio oncológico. Parâmetro ""rastreio e deteção precoce do cancro do colon e reto"".",AA / BB x 100,%,Proporção de utentes,Descontinuado em Dezembro de 2014,,,,Processo,Rastreio Oncológico,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=134&CLUSTERS=S,,,,,,,,"134 percent. utentes [50; 75[a, c/ colonosc. ou psof percentagem inscritos com idade entre [50; 75[ anos, com psof ou colonoscopia atualizada nan nan nan processo rastreio oncologico",[134](https://sdm.min-saude.pt/BI.aspx?id=134&CLUSTERS=S)
135,5.04.03,5.4M,"Percent. DM c/ 3+ HbA1c 1 ano, 1+ por semestre","Percentagem de utentes com diabetes com 3 ou mais HbA1c registadas nos últimos 12 meses,desde que abranjam 2 semestres","Monitorizar o programa de diabetes. Parâmetro ""registo de resultado de HbA1c"".",AA / BB x 100,%,Proporção de utentes com Diabetes Mellitus,Descontinuado em Dezembro de 2014,,,,Processo,Diabetes Mellitus,Utentes inscritos durante um mínimo de N meses do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=135&CLUSTERS=S,,,,,,,,"135 percent. dm c/ 3+ hba1c 1 ano, 1+ por semestre percentagem de utentes com diabetes com 3 ou mais hba1c registadas nos ultimos 12 meses,desde que abranjam 2 semestres nan nan nan processo diabetes mellitus",[135](https://sdm.min-saude.pt/BI.aspx?id=135&CLUSTERS=S)
136,5.04.04,5.4M 2,Percent. DM c/ 1 HbA1c por semestre,"Percentagem de utentes com diabetes (vigiados), com 2 ou mais HbA1c registadas nos últimos 12 meses, desde que abranjam 2 semestres","Monitorizar o programa de diabetes. Parâmetro ""registo de resultado de HbA1c"".",AA / BB x 100,%,Proporção de utentes com Diabetes Mellitus,Descontinuado em Dezembro de 2016,,,,Processo,Diabetes Mellitus,Utentes inscritos durante um mínimo de N meses do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=136&CLUSTERS=S,,,,,,,,"136 percent. dm c/ 1 hba1c por semestre percentagem de utentes com diabetes (vigiados), com 2 ou mais hba1c registadas nos ultimos 12 meses, desde que abranjam 2 semestres nan nan nan processo diabetes mellitus",[136](https://sdm.min-saude.pt/BI.aspx?id=136&CLUSTERS=S)
137,5.07.02,5.7,Percent. DM com exame pés último ano,Percentagem de utentes com diabetes com pelo menos um exame dos pés registado no ano,"Monitorizar o programa de diabetes. Parâmetro ""realização de exame de pés"".",AA / BB x 100,%,Proporção de utentes com Diabetes Mellitus,Descontinuado em Dezembro de 2016,,,,Processo,Diabetes Mellitus,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=137&CLUSTERS=S,,,,,,,,137 percent. dm com exame pes ultimo ano percentagem de utentes com diabetes com pelo menos um exame dos pes registado no ano nan nan nan processo diabetes mellitus,[137](https://sdm.min-saude.pt/BI.aspx?id=137&CLUSTERS=S)
138,6.01.09,6.1,Percent. de crianças com PNV atualizado - 2 anos,Percentagem de crianças com PNV atualizado aos 2 anos,Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 2 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=138&CLUSTERS=S,,,,,,,,138 percent. de criancas com pnv atualizado - 2 anos percentagem de criancas com pnv atualizado aos 2 anos nan nan nan processo saude infantil e juvenil,[138](https://sdm.min-saude.pt/BI.aspx?id=138&CLUSTERS=S)
139,6.12.02,6.12,Percent. primeiras consultas até 28 dias,Percentagem de primeiras consultas na vida efetuadas até aos 28 dias,Monitorizar a vigilância precoce dos recém-nascidos.,AA / BB x 100,%,Proporção de recém-nascidos,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=139&CLUSTERS=S,,,,,,,,139 percent. primeiras consultas ate 28 dias percentagem de primeiras consultas na vida efetuadas ate aos 28 dias nan nan nan processo saude infantil e juvenil,[139](https://sdm.min-saude.pt/BI.aspx?id=139&CLUSTERS=S)
140,6.13.02,6.13,Percent. RN com TSHPKU realizado até ao 7º dia,Percentagem de diagnósticos precoces (TSHPKU) realizados até ao 7.º dia de vida do recém-nascido,"Monitorizar o programa de saúde infantil. Parâmetro ""realização de diagnóstico precoce"".",AA / BB x 100,%,Proporção de recém-nascidos,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=140&CLUSTERS=S,,,,,,,,140 percent. rn com tshpku realizado ate ao 7o dia percentagem de diagnosticos precoces (tshpku) realizados ate ao 7.o dia de vida do recem-nascido nan nan nan processo saude infantil e juvenil,[140](https://sdm.min-saude.pt/BI.aspx?id=140&CLUSTERS=S)
141,6.19.02,6.19M,Percent. DM [18;76[A c/ cons. enf. vigil. DM 12M,Percentagem de utentes com diabetes dos 18 aos 75 anos abrangidos pela consulta de enfermagem,"Monitorizar o programa de diabetes. Parâmetro ""consulta de vigilância de enfermagem"".",AA / BB x 100,%,Proporção de utentes com Diabetes Mellitus,Descontinuado em Dezembro de 2016,,,,Processo,Diabetes Mellitus,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=141&CLUSTERS=S,,,,,,,,141 percent. dm [18;76[a c/ cons. enf. vigil. dm 12m percentagem de utentes com diabetes dos 18 aos 75 anos abrangidos pela consulta de enfermagem nan nan nan processo diabetes mellitus,[141](https://sdm.min-saude.pt/BI.aspx?id=141&CLUSTERS=S)
142,6.01.10,6.1M 1,Percent. de crianças com PNV atualizado - 2 anos,Percentagem de crianças com PNV atualizado aos 2 anos,Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 2 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=142&CLUSTERS=S,,,,,,,,142 percent. de criancas com pnv atualizado - 2 anos percentagem de criancas com pnv atualizado aos 2 anos nan nan nan processo saude infantil e juvenil,[142](https://sdm.min-saude.pt/BI.aspx?id=142&CLUSTERS=S)
143,6.01.11,6.1M 2,Percent. de crianças com PNV atualizado - 7 anos,Percentagem de crianças com PNV atualizado aos 7 anos (registo completo),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 7 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=143&CLUSTERS=S,,,,,,,,143 percent. de criancas com pnv atualizado - 7 anos percentagem de criancas com pnv atualizado aos 7 anos (registo completo) nan nan nan processo saude infantil e juvenil,[143](https://sdm.min-saude.pt/BI.aspx?id=143&CLUSTERS=S)
144,6.01.12,6.1M 3,Percent. de crianças com PNV atualizado - 14 anos,Percentagem de crianças com PNV atualizado aos 14 anos (registo completo),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 14 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=144&CLUSTERS=S,,,,,,,,144 percent. de criancas com pnv atualizado - 14 anos percentagem de criancas com pnv atualizado aos 14 anos (registo completo) nan nan nan processo saude infantil e juvenil,[144](https://sdm.min-saude.pt/BI.aspx?id=144&CLUSTERS=S)
145,6.01.13,6.1M d1,Percent. crianças com PNV atualizado - 2 anos (S),Percentagem de crianças com PNV atualizado aos 2 anos (registo simplificado),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 2 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=145&CLUSTERS=S,,,,,,,,145 percent. criancas com pnv atualizado - 2 anos (s) percentagem de criancas com pnv atualizado aos 2 anos (registo simplificado) nan nan nan processo saude infantil e juvenil,[145](https://sdm.min-saude.pt/BI.aspx?id=145&CLUSTERS=S)
146,6.01.14,6.1M d1 f,Percent. crianças com PNV atualizado - 2 anos (S),Percentagem de crianças com PNV atualizado aos 2 anos (registo simplificado),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 2 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=146&CLUSTERS=S,,,,,,,,146 percent. criancas com pnv atualizado - 2 anos (s) percentagem de criancas com pnv atualizado aos 2 anos (registo simplificado) nan nan nan processo saude infantil e juvenil,[146](https://sdm.min-saude.pt/BI.aspx?id=146&CLUSTERS=S)
147,6.01.15,6.1M d2,Percent. crianças com PNV atualizado - 7 anos (S),Percentagem de crianças com PNV atualizado aos 7 anos (registo simplificado),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 7 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=147&CLUSTERS=S,,,,,,,,147 percent. criancas com pnv atualizado - 7 anos (s) percentagem de criancas com pnv atualizado aos 7 anos (registo simplificado) nan nan nan processo saude infantil e juvenil,[147](https://sdm.min-saude.pt/BI.aspx?id=147&CLUSTERS=S)
148,6.01.17,6.1M d3,Percent. crianças com PNV atualizado - 14A (S),Percentagem de crianças com PNV atualizado aos 14 anos (registo simplificado),Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 14 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2014,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=148&CLUSTERS=S,,,,,,,,148 percent. criancas com pnv atualizado - 14a (s) percentagem de criancas com pnv atualizado aos 14 anos (registo simplificado) nan nan nan processo saude infantil e juvenil,[148](https://sdm.min-saude.pt/BI.aspx?id=148&CLUSTERS=S)
